source_file,question,generated_question,similar,similarity_score,rationale
20260801_200952_What_are_typical_COPD_reimbursment_amoun.json,What are typical COPD reimbursment amounts?,"The record appears to belong to the medical domain, specifically related to a Medicare claim for a patient with COPD (Chronic Obstructive Pulmonary Disease). Here are five questions a user might ask based on this record:",no,1,"The generated question shifts focus from asking about reimbursement amounts for COPD to discussing potential questions related to a Medicare claim, which is a different topic."
20260801_200952_What_are_typical_COPD_reimbursment_amoun.json,What are typical COPD reimbursment amounts?,What specific procedures were performed for the COPD diagnosis in this claim?,no,1,"The source question asks about reimbursement amounts, while the generated question inquires about specific procedures related to a claim, which is a different topic."
20260801_200952_What_are_typical_COPD_reimbursment_amoun.json,What are typical COPD reimbursment amounts?,Can you provide the total reimbursement amount for the COPD treatment listed in the record?,no,2,"The source question asks about typical reimbursement amounts in general, while the generated question is specifically asking for a total reimbursement amount for a specific treatment."
20260801_200952_What_are_typical_COPD_reimbursment_amoun.json,What are typical COPD reimbursment amounts?,What dates of service are associated with the COPD-related claims in this record?,no,1,"The source question asks about reimbursement amounts for COPD, while the generated question inquires about dates of service related to claims, which is a different topic."
20260801_200952_What_are_typical_COPD_reimbursment_amoun.json,What are typical COPD reimbursment amounts?,Are there any chronic conditions noted in this record that could affect the COPD treatment reimbursement?,no,1,"The source question asks specifically about reimbursement amounts for COPD, while the generated question inquires about chronic conditions that may impact reimbursement, which is a different topic."
20260801_200952_What_are_typical_COPD_reimbursment_amoun.json,What are typical COPD reimbursment amounts?,How does the reimbursement amount for COPD compare to other respiratory conditions in similar claims?,no,2,"The source question asks specifically about typical reimbursement amounts for COPD, while the generated question seeks a comparison of COPD reimbursement amounts to other respiratory conditions, which is a different focus."
20260801_201009_asthma_treatment_plan.json,asthma treatment plan,What medications are included in the asthma treatment plan for this patient?,yes,4,"Both questions are focused on asthma treatment plans, with the generated question specifying medications, which is a component of the treatment plan."
20260801_201009_asthma_treatment_plan.json,asthma treatment plan,Are there any specific lifestyle changes recommended to manage asthma symptoms effectively?,no,2,"The source question asks for a treatment plan, while the generated question focuses specifically on lifestyle changes for managing symptoms."
20260801_201009_asthma_treatment_plan.json,asthma treatment plan,How often should the patient follow up with their healthcare provider regarding their asthma management?,no,2,"The source question asks for a general treatment plan for asthma, while the generated question specifically inquires about follow-up frequency with a healthcare provider."
20260801_201009_asthma_treatment_plan.json,asthma treatment plan,What are the peak flow monitoring instructions outlined in the treatment plan?,no,2,"The source question asks for a general treatment plan for asthma, while the generated question specifically focuses on peak flow monitoring instructions, which is a subset of the treatment plan."
20260801_201009_asthma_treatment_plan.json,asthma treatment plan,Are there any triggers identified in the treatment plan that the patient should avoid to prevent asthma attacks?,no,2,"The source question asks for a general treatment plan for asthma, while the generated question specifically inquires about triggers to avoid, which is a narrower aspect of the treatment plan."
20260801_201054_COPD_reimbursement_amounts.json,COPD reimbursement amounts,What are the typical reimbursement amounts for COPD treatments under Medicare?,yes,5,"Both questions seek information about reimbursement amounts related to COPD, with the generated question specifying Medicare."
20260801_201054_COPD_reimbursement_amounts.json,COPD reimbursement amounts,Can you provide details on the billing codes associated with COPD claims?,no,2,"The source question asks specifically about reimbursement amounts, while the generated question focuses on billing codes, which are related but not the same information."
20260801_201054_COPD_reimbursement_amounts.json,COPD reimbursement amounts,How does the reimbursement for COPD compare to other chronic conditions?,no,2,"The source question asks specifically about the amounts of reimbursement for COPD, while the generated question seeks a comparison of COPD reimbursement to other conditions, which is a different focus."
20260801_201054_COPD_reimbursement_amounts.json,COPD reimbursement amounts,Are there specific procedures for which COPD patients receive higher reimbursement rates?,no,2,"The source question asks for general reimbursement amounts for COPD, while the generated question focuses on specific procedures and their reimbursement rates."
20260801_201054_COPD_reimbursement_amounts.json,COPD reimbursement amounts,What dates of service are most commonly associated with COPD claims and their reimbursement amounts?,no,2,"The source question asks specifically about reimbursement amounts, while the generated question focuses on dates of service related to claims, which is a different aspect of the topic."
20260801_201330_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,"Based on the record provided, it appears to belong to the real estate domain. Here are five questions a user might ask:",no,1,The generated question does not ask for the same information as the source question; it is a general statement about real estate questions rather than a specific inquiry about rental properties.
20260801_201330_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,What are the current rental prices for 2-room apartments in Kreuzberg close to the U-Bahn?,yes,5,"Both questions seek information about affordable 2-room rentals near a U-Bahn in Kreuzberg, focusing on rental prices."
20260801_201330_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,Are there any available 2-room rentals near a U-Bahn station in Kreuzberg right now?,yes,5,Both questions seek information about the availability of cheap 2-room rentals near a U-Bahn in Kreuzberg.
20260801_201330_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,Can you provide details on the features of 2-room rentals near U-Bahn in Kreuzberg?,no,2,"The source question asks for affordable rental options, while the generated question seeks specific details about features, which is a different focus."
20260801_201330_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,How does the rental market in Kreuzberg look for 2-room apartments near U-Bahn stations?,no,2,"The source question asks for specific rental options, while the generated question seeks a general overview of the rental market."
20260801_201330_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,What is the average size of 2-room rentals available near U-Bahn in Kreuzberg?,no,2,"The source question asks for rental prices, while the generated question inquires about the average size of rentals, which is a different aspect."
20260801_201358_new_build_with_parking_in_Mitte.json,new build with parking in Mitte,"Based on the record indicating a new build with parking in Mitte, the domain is real estate. Here are five questions a potential buyer or renter might ask:",no,1,"The generated question shifts the focus from a specific inquiry about new builds with parking in Mitte to a broader context of potential questions for buyers or renters, which is a different topic."
20260801_201358_new_build_with_parking_in_Mitte.json,new build with parking in Mitte,"What are the available units in the new build located in Mitte, and what are their sizes?",no,2,"The source question asks specifically about new builds with parking, while the generated question focuses on available units and their sizes, which is a different aspect of the property."
20260801_201358_new_build_with_parking_in_Mitte.json,new build with parking in Mitte,Can you provide details about the parking options available for residents in this new development?,yes,4,"Both questions inquire about parking in a new development, focusing on the availability and specifics of parking options."
20260801_201358_new_build_with_parking_in_Mitte.json,new build with parking in Mitte,What is the price range for the units in the new build in Mitte?,no,2,"The source question asks for information about new builds with parking, while the generated question specifically inquires about the price range of the units."
20260801_201358_new_build_with_parking_in_Mitte.json,new build with parking in Mitte,Are there any special features or amenities included in the new build in Mitte?,no,2,"The source question specifically asks about parking in a new build, while the generated question inquires about special features or amenities, which is a different focus."
20260801_201358_new_build_with_parking_in_Mitte.json,new build with parking in Mitte,How does the rental market in Mitte compare to other neighborhoods in terms of availability and pricing?,no,1,"The source question asks specifically about new builds with parking in Mitte, while the generated question inquires about the rental market comparison in terms of availability and pricing, which is a different topic."
20260801_201411_furnished_1_room_flat_near_an_S_Bahn_in_.json,furnished 1-room flat near an S-Bahn in Prenzlauer Berg,"Based on the record, it belongs to the real estate domain. Here are five questions a potential renter or buyer might ask:",no,1,"The source question is a specific inquiry about a furnished flat, while the generated question is a general statement about real estate questions."
20260801_201411_furnished_1_room_flat_near_an_S_Bahn_in_.json,furnished 1-room flat near an S-Bahn in Prenzlauer Berg,What is the monthly rent for the furnished 1-room flat in Prenzlauer Berg?,no,2,"The source question is about the availability of a furnished flat, while the generated question specifically asks for the monthly rent."
20260801_201411_furnished_1_room_flat_near_an_S_Bahn_in_.json,furnished 1-room flat near an S-Bahn in Prenzlauer Berg,How close is the flat to the nearest S-Bahn station?,yes,4,"Both questions inquire about the proximity of the flat to an S-Bahn station, focusing on location."
20260801_201411_furnished_1_room_flat_near_an_S_Bahn_in_.json,furnished 1-room flat near an S-Bahn in Prenzlauer Berg,Are there any additional fees or utilities included in the rent for this flat?,no,1,"The source question is about the availability of a furnished flat, while the generated question inquires about fees and utilities related to the rent."
20260801_201411_furnished_1_room_flat_near_an_S_Bahn_in_.json,furnished 1-room flat near an S-Bahn in Prenzlauer Berg,What amenities are available in the furnished 1-room flat?,no,2,"The source question is about the location and type of flat, while the generated question asks about the amenities, which is a different aspect."
20260801_201411_furnished_1_room_flat_near_an_S_Bahn_in_.json,furnished 1-room flat near an S-Bahn in Prenzlauer Berg,"Is the flat currently available for rent, and when can I schedule a viewing?",no,2,"The source question is about the characteristics of a flat, while the generated question inquires about its availability and viewing schedule."
20260801_201431_large_2_room_family_rental_with_a_balcon.json,large 2-room family rental with a balcony and lift in Steglitz,What is the monthly rent for the large 2-room family rental in Steglitz with a balcony and lift?,yes,4,"Both questions inquire about a large 2-room family rental in Steglitz with specific features, focusing on the same property."
20260801_201431_large_2_room_family_rental_with_a_balcon.json,large 2-room family rental with a balcony and lift in Steglitz,Are there any additional fees or costs associated with renting the 2-room family apartment in Steglitz?,no,1,"The source question is about the features of a rental property, while the generated question inquires about fees or costs, which is a different topic."
20260801_201431_large_2_room_family_rental_with_a_balcon.json,large 2-room family rental with a balcony and lift in Steglitz,Can you provide details about the size and layout of the 2-room family rental in Steglitz?,no,2,"The source question specifically asks for a rental with certain features (balcony and lift), while the generated question focuses on the size and layout, which is a different aspect."
20260801_201431_large_2_room_family_rental_with_a_balcon.json,large 2-room family rental with a balcony and lift in Steglitz,Is the large 2-room family rental in Steglitz currently available for immediate move-in?,no,2,"The source question is about the features of a rental property, while the generated question asks about its availability for move-in."
20260801_201431_large_2_room_family_rental_with_a_balcon.json,large 2-room family rental with a balcony and lift in Steglitz,What amenities are included with the 2-room family rental in Steglitz besides the balcony and lift?,no,2,"The source question specifically asks for a rental with certain features, while the generated question inquires about additional amenities, which is a different focus."
20260801_201459_2_room_family_rental_with_a_balcony_and_.json,2-room family rental with a balcony and lift in Steglitz,"Based on the record, it belongs to the real estate domain. Here are five questions a potential renter or buyer might ask:",no,1,"The source question is a specific request for a type of rental property, while the generated question is a general statement about potential questions in the real estate domain."
20260801_201459_2_room_family_rental_with_a_balcony_and_.json,2-room family rental with a balcony and lift in Steglitz,What is the monthly rent for the 2-room family rental in Steglitz?,no,2,"The source question asks for specific features of a rental property, while the generated question inquires about the rental price."
20260801_201459_2_room_family_rental_with_a_balcony_and_.json,2-room family rental with a balcony and lift in Steglitz,Does the rental property include any additional amenities besides the balcony and lift?,no,2,"The source question specifically asks for a rental property with certain features, while the generated question inquires about additional amenities, which is a different focus."
20260801_201459_2_room_family_rental_with_a_balcony_and_.json,2-room family rental with a balcony and lift in Steglitz,How large is the 2-room family rental in Steglitz in terms of square footage?,no,1,"The source question asks for specific features of a rental property, while the generated question inquires about the size of the property."
20260801_201459_2_room_family_rental_with_a_balcony_and_.json,2-room family rental with a balcony and lift in Steglitz,Is the 2-room family rental currently available for immediate move-in?,no,2,"The source question asks for specific features of a rental property, while the generated question inquires about its availability for move-in, which is a different aspect."
20260801_201459_2_room_family_rental_with_a_balcony_and_.json,2-room family rental with a balcony and lift in Steglitz,Are there any nearby schools or parks that would be convenient for families living in Steglitz?,no,1,"The source question is about specific rental property features, while the generated question focuses on nearby amenities for families."
20260801_201556_average_rent_per_m2_in_Kreuzberg_in_2024.json,average rent per m2 in Kreuzberg in 2024,"The record pertains to real estate, specifically rental market data. Here are five questions a user might ask based on the retrieved record:",no,1,The generated question does not ask for the same information as the source question; it is a general statement about real estate questions rather than a specific inquiry about average rent in Kreuzberg.
20260801_201556_average_rent_per_m2_in_Kreuzberg_in_2024.json,average rent per m2 in Kreuzberg in 2024,What is the average rent per square meter in Kreuzberg for the year 2024?,yes,5,Both questions ask for the same information regarding the average rent per square meter in Kreuzberg for the year 2024.
20260801_201556_average_rent_per_m2_in_Kreuzberg_in_2024.json,average rent per m2 in Kreuzberg in 2024,How does the rental price in Kreuzberg compare to other neighborhoods in Berlin for 2024?,no,2,"The source question asks for a specific average rent per square meter in Kreuzberg, while the generated question seeks a comparative analysis of rental prices across different neighborhoods."
20260801_201556_average_rent_per_m2_in_Kreuzberg_in_2024.json,average rent per m2 in Kreuzberg in 2024,Are there any trends in rental prices in Kreuzberg over the past few years leading up to 2024?,no,2,"The source question asks for a specific average rent figure for 2024, while the generated question seeks information about trends over several years, which is a different focus."
20260801_201556_average_rent_per_m2_in_Kreuzberg_in_2024.json,average rent per m2 in Kreuzberg in 2024,What is the availability of rental listings in Kreuzberg for 2024?,no,1,"The source question asks for the average rent per square meter, while the generated question inquires about the availability of rental listings, which is a different topic."
20260801_201556_average_rent_per_m2_in_Kreuzberg_in_2024.json,average rent per m2 in Kreuzberg in 2024,Can you provide information on the factors influencing rent prices in Kreuzberg this year?,no,2,"The source question asks for a specific numerical value (average rent per m2), while the generated question seeks qualitative information about factors influencing rent prices."
20260801_201611_how_did_resale_prices_compare_to_new_con.json,how did resale prices compare to new construction in Mitte during high mortgage rates,"The record pertains to real estate, specifically focusing on resale prices versus new construction in Mitte during a period of high mortgage rates. Here are five questions a user might ask based on this record:",no,2,"The generated question does not directly ask for a comparison of resale prices to new construction; instead, it suggests a broader context without a specific inquiry."
20260801_201611_how_did_resale_prices_compare_to_new_con.json,how did resale prices compare to new construction in Mitte during high mortgage rates,What were the average resale prices in Mitte compared to new construction during the time of high mortgage rates?,yes,5,Both questions seek to compare resale prices to new construction prices in Mitte during high mortgage rates.
20260801_201611_how_did_resale_prices_compare_to_new_con.json,how did resale prices compare to new construction in Mitte during high mortgage rates,Did high mortgage rates affect the demand for resale properties versus new construction in Mitte?,no,2,"The source question focuses on comparing resale prices to new construction prices, while the generated question asks about the impact of mortgage rates on demand, which is a different aspect."
20260801_201611_how_did_resale_prices_compare_to_new_con.json,how did resale prices compare to new construction in Mitte during high mortgage rates,How did the price trends for resale homes in Mitte differ from those of new builds during the high mortgage rate period?,yes,5,Both questions seek to compare resale prices to new construction prices in Mitte during a specific period of high mortgage rates.
20260801_201611_how_did_resale_prices_compare_to_new_con.json,how did resale prices compare to new construction in Mitte during high mortgage rates,Were there any notable differences in the availability of resale properties versus new construction in Mitte when mortgage rates were elevated?,no,2,"The source question focuses on comparing resale prices to new construction prices, while the generated question asks about the availability of properties, which is a different aspect."
20260801_201611_how_did_resale_prices_compare_to_new_con.json,how did resale prices compare to new construction in Mitte during high mortgage rates,Can you provide insights on how high mortgage rates influenced buyer preferences between resale and new construction homes in Mitte?,no,2,"The source question focuses on comparing resale prices to new construction prices, while the generated question asks about buyer preferences influenced by high mortgage rates, which is a different aspect."
20260801_201646_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,"The record appears to belong to the real estate domain, specifically regarding mortgage rates and rental listings. Here are five questions a user might ask based on that record:",no,1,The generated question does not ask for the same information as the source question; it instead describes the context without seeking specific data about mortgage rates or rental listings.
20260801_201646_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,What were the specific months when mortgage rates peaked in the last year?,no,2,"The source question asks for both the months with the highest mortgage rates and the number of rental listings, while the generated question only focuses on the months when mortgage rates peaked."
20260801_201646_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How many rental listings were available during the months with the highest mortgage rates?,yes,5,Both questions seek to identify the relationship between the months of highest mortgage rates and the number of rental listings available during those times.
20260801_201646_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Can you provide a comparison of rental inventory levels during the highest mortgage rate months?,yes,4,"Both questions seek to understand the relationship between high mortgage rates and rental listings, focusing on inventory levels during those specific months."
20260801_201646_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Were there any notable trends in rental prices during the months when mortgage rates were at their highest?,no,2,"The source question focuses on specific months with high mortgage rates and the number of rental listings, while the generated question asks about trends in rental prices, which is a different aspect of the rental market."
20260801_201646_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How did the availability of rental properties fluctuate in relation to the changes in mortgage rates?,no,2,"The source question specifically asks for the months with the highest mortgage rates and the number of rental listings, while the generated question focuses on the relationship between rental property availability and mortgage rate changes, which is a different scope."
20260801_204738_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,The record appears to belong to the real estate domain. Here are five questions a user might ask based on the retrieved record:,no,1,The generated question does not ask for the same information as the source question; it is more about generating potential questions rather than seeking specific data on mortgage rates and rental listings.
20260801_204738_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,What were the specific months when mortgage rates peaked in the last year?,no,2,"The source question asks for both the months with highest mortgage rates and the number of rental listings, while the generated question only focuses on the months when mortgage rates peaked."
20260801_204738_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Can you provide the number of rental listings available during the months with the highest mortgage rates?,yes,5,Both questions seek information about the relationship between the months of highest mortgage rates and the number of rental listings.
20260801_204738_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How did the rental inventory change in relation to the fluctuations in mortgage rates?,no,2,"The source question specifically asks for the months with the highest mortgage rates and the number of rental listings, while the generated question focuses on the relationship between rental inventory and mortgage rate fluctuations, which is a different aspect."
20260801_204738_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Were there any notable trends in rental prices during the months when mortgage rates were at their highest?,no,2,"The source question specifically asks for the months with the highest mortgage rates and the number of rental listings, while the generated question focuses on trends in rental prices during those months, which is a different aspect."
20260801_204738_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Is there a correlation between the highest mortgage rates and the availability of rental properties in the market?,no,2,"The source question asks for specific months and rental listing counts, while the generated question seeks to understand a correlation, which is a different type of information."
20260801_230235_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,"The record appears to belong to the real estate domain, specifically regarding mortgage rates and rental listings. Here are five questions a user might ask based on this record:",no,1,"The generated question does not ask for specific information about mortgage rates and rental listings; instead, it discusses the context of the record without seeking specific data."
20260801_230235_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,What were the specific months when mortgage rates peaked in the last year?,no,2,"The source question asks for both the months with highest mortgage rates and the number of rental listings, while the generated question only focuses on the months when mortgage rates peaked."
