source_file,question,generated_question
20260801_200952_What_are_typical_COPD_reimbursment_amoun.json,What are typical COPD reimbursment amounts?,"The record appears to belong to the medical domain, specifically related to a Medicare claim for a patient with COPD (Chronic Obstructive Pulmonary Disease). Here are five questions a user might ask based on this record:"
20260801_200952_What_are_typical_COPD_reimbursment_amoun.json,What are typical COPD reimbursment amounts?,What specific procedures were performed for the COPD diagnosis in this claim?
20260801_200952_What_are_typical_COPD_reimbursment_amoun.json,What are typical COPD reimbursment amounts?,Can you provide the total reimbursement amount for the COPD treatment listed in the record?
20260801_200952_What_are_typical_COPD_reimbursment_amoun.json,What are typical COPD reimbursment amounts?,What dates of service are associated with the COPD-related claims in this record?
20260801_200952_What_are_typical_COPD_reimbursment_amoun.json,What are typical COPD reimbursment amounts?,Are there any chronic conditions noted in this record that could affect the COPD treatment reimbursement?
20260801_200952_What_are_typical_COPD_reimbursment_amoun.json,What are typical COPD reimbursment amounts?,How does the reimbursement amount for COPD compare to other respiratory conditions in similar claims?
20260801_201009_asthma_treatment_plan.json,asthma treatment plan,What medications are included in the asthma treatment plan for this patient?
20260801_201009_asthma_treatment_plan.json,asthma treatment plan,Are there any specific lifestyle changes recommended to manage asthma symptoms effectively?
20260801_201009_asthma_treatment_plan.json,asthma treatment plan,How often should the patient follow up with their healthcare provider regarding their asthma management?
20260801_201009_asthma_treatment_plan.json,asthma treatment plan,What are the peak flow monitoring instructions outlined in the treatment plan?
20260801_201009_asthma_treatment_plan.json,asthma treatment plan,Are there any triggers identified in the treatment plan that the patient should avoid to prevent asthma attacks?
20260801_201054_COPD_reimbursement_amounts.json,COPD reimbursement amounts,What are the typical reimbursement amounts for COPD treatments under Medicare?
20260801_201054_COPD_reimbursement_amounts.json,COPD reimbursement amounts,Can you provide details on the billing codes associated with COPD claims?
20260801_201054_COPD_reimbursement_amounts.json,COPD reimbursement amounts,How does the reimbursement for COPD compare to other chronic conditions?
20260801_201054_COPD_reimbursement_amounts.json,COPD reimbursement amounts,Are there specific procedures for which COPD patients receive higher reimbursement rates?
20260801_201054_COPD_reimbursement_amounts.json,COPD reimbursement amounts,What dates of service are most commonly associated with COPD claims and their reimbursement amounts?
20260801_201330_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,"Based on the record provided, it appears to belong to the real estate domain. Here are five questions a user might ask:"
20260801_201330_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,What are the current rental prices for 2-room apartments in Kreuzberg close to the U-Bahn?
20260801_201330_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,Are there any available 2-room rentals near a U-Bahn station in Kreuzberg right now?
20260801_201330_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,Can you provide details on the features of 2-room rentals near U-Bahn in Kreuzberg?
20260801_201330_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,How does the rental market in Kreuzberg look for 2-room apartments near U-Bahn stations?
20260801_201330_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,What is the average size of 2-room rentals available near U-Bahn in Kreuzberg?
20260801_201358_new_build_with_parking_in_Mitte.json,new build with parking in Mitte,"Based on the record indicating a new build with parking in Mitte, the domain is real estate. Here are five questions a potential buyer or renter might ask:"
20260801_201358_new_build_with_parking_in_Mitte.json,new build with parking in Mitte,"What are the available units in the new build located in Mitte, and what are their sizes?"
20260801_201358_new_build_with_parking_in_Mitte.json,new build with parking in Mitte,Can you provide details about the parking options available for residents in this new development?
20260801_201358_new_build_with_parking_in_Mitte.json,new build with parking in Mitte,What is the price range for the units in the new build in Mitte?
20260801_201358_new_build_with_parking_in_Mitte.json,new build with parking in Mitte,Are there any special features or amenities included in the new build in Mitte?
20260801_201358_new_build_with_parking_in_Mitte.json,new build with parking in Mitte,How does the rental market in Mitte compare to other neighborhoods in terms of availability and pricing?
20260801_201411_furnished_1_room_flat_near_an_S_Bahn_in_.json,furnished 1-room flat near an S-Bahn in Prenzlauer Berg,"Based on the record, it belongs to the real estate domain. Here are five questions a potential renter or buyer might ask:"
20260801_201411_furnished_1_room_flat_near_an_S_Bahn_in_.json,furnished 1-room flat near an S-Bahn in Prenzlauer Berg,What is the monthly rent for the furnished 1-room flat in Prenzlauer Berg?
